iter	Passed	Remaining
0	0	141
1	1	128
2	1	121
3	2	121
4	2	115
5	3	112
6	4	112
7	4	112
8	5	112
9	5	110
10	6	110
11	7	111
12	7	108
13	8	107
14	8	105
15	9	103
16	9	101
17	9	100
18	10	102
19	11	100
20	11	99
21	12	98
22	12	97
23	13	95
24	13	95
25	14	95
26	15	97
27	15	96
28	16	94
29	16	94
30	17	93
31	17	93
32	18	92
33	18	91
34	19	91
35	20	91
36	20	91
37	21	90
38	21	89
39	22	90
40	23	89
41	23	88
42	24	88
43	24	88
44	25	87
45	26	87
46	26	86
47	27	85
48	27	85
49	28	84
50	28	83
51	29	83
52	29	82
53	30	81
54	30	81
55	31	80
56	31	79
57	32	79
58	32	78
59	33	78
60	34	78
61	35	78
62	35	78
63	36	77
64	37	76
65	38	77
66	38	77
67	39	76
68	40	76
69	40	75
70	41	75
71	41	74
72	42	73
73	42	73
74	43	72
75	44	71
76	44	71
77	45	70
78	46	70
79	46	70
80	47	69
81	47	68
82	48	68
83	48	67
84	49	66
85	49	66
86	50	65
87	50	64
88	51	63
89	51	63
90	52	62
91	52	62
92	53	61
93	54	60
94	54	60
95	54	59
96	55	58
97	55	58
98	56	57
99	56	56
100	57	56
101	57	55
102	58	54
103	58	54
104	59	53
105	59	53
106	60	52
107	60	51
108	61	51
109	61	50
110	62	50
111	63	49
112	63	49
113	64	48
114	64	48
115	65	47
116	66	46
117	66	46
118	67	46
119	68	45
120	68	44
121	69	44
122	70	44
123	71	43
124	71	43
125	72	42
126	73	42
127	73	41
128	74	40
129	74	40
130	75	39
131	75	39
132	76	38
133	76	37
134	77	37
135	78	36
136	78	36
137	79	35
138	79	35
139	80	34
140	81	33
141	81	33
142	82	32
143	82	32
144	83	31
145	83	30
146	84	30
147	84	29
148	85	29
149	85	28
150	86	27
151	86	27
152	87	26
153	87	26
154	88	25
155	88	24
156	89	24
157	89	23
158	89	23
159	90	22
160	90	22
161	91	21
162	91	20
163	92	20
164	92	19
165	93	19
166	94	18
167	94	18
168	95	17
169	95	16
170	96	16
171	96	15
172	97	15
173	97	14
174	98	14
175	98	13
176	99	12
177	99	12
178	100	11
179	101	11
180	101	10
181	102	10
182	102	9
183	103	8
184	103	8
185	104	7
186	104	7
187	105	6
188	105	6
189	106	5
190	106	5
191	107	4
192	107	3
193	108	3
194	108	2
195	109	2
196	109	1
197	110	1
198	111	0
199	111	0
